id,matematika,fisika,biologi,ekonomi,geografi,bahasa_inggris,bahasa_indonesia,ppkn,keterampilan,olahraga,sosiologi,komputer,iq,suka_sains,suka_bisnis,suka_kedokteran,suka_komputer,bermain_game,jurusan
1,89,88,94,94,76,92,93,83,76,99,65,99,80,iya,iya,iya,iya,iya,STEM
2,88,96,86,93,99,87,82,84,84,90,83,87,126,iya,iya,iya,iya,iya,STEM
3,95,97,92,91,96,88,96,79,75,81,83,86,132,iya,tidak,iya,iya,iya,STEM
4,94,89,85,84,61,83,93,90,85,96,91,84,116,iya,iya,iya,iya,tidak,STEM
5,99,99,91,97,62,86,79,78,77,90,72,88,113,iya,tidak,iya,iya,tidak,STEM
6,89,86,98,95,94,79,78,86,88,86,82,98,103,iya,iya,tidak,tidak,iya,STEM
7,86,97,86,83,65,94,79,93,90,97,80,94,88,iya,iya,iya,iya,iya,STEM
8,88,82,90,81,87,88,85,76,83,90,88,83,83,tidak,iya,iya,tidak,tidak,STEM
9,99,91,95,99,95,100,99,93,90,88,64,86,121,iya,iya,iya,iya,iya,STEM
10,99,85,100,94,70,91,88,75,85,87,69,94,112,iya,iya,tidak,tidak,tidak,STEM
11,98,92,89,99,64,87,96,79,78,80,68,92,107,iya,iya,iya,iya,tidak,STEM
12,97,90,94,85,61,99,88,80,82,96,89,91,109,iya,iya,iya,iya,iya,STEM
13,93,95,83,94,84,100,80,99,93,85,82,93,111,tidak,iya,iya,iya,iya,ekonomi_dan_bisnis
14,87,84,83,98,84,89,84,88,97,98,81,99,122,tidak,iya,iya,iya,iya,ekonomi_dan_bisnis
15,96,81,85,99,97,85,78,88,96,85,86,96,107,tidak,iya,iya,iya,iya,ekonomi_dan_bisnis
16,85,88,85,95,89,90,83,88,96,85,97,70,91,tidak,iya,iya,tidak,iya,ekonomi_dan_bisnis
17,97,88,87,100,99,81,84,87,92,89,92,80,77,iya,tidak,tidak,iya,iya,ekonomi_dan_bisnis
18,92,85,86,94,82,94,94,89,100,85,95,71,98,iya,iya,iya,iya,iya,ekonomi_dan_bisnis
19,90,80,84,90,81,100,97,89,95,91,87,97,85,iya,iya,tidak,tidak,iya,ekonomi_dan_bisnis
20,90,84,84,92,100,80,79,98,99,100,82,87,86,tidak,iya,iya,iya,iya,ekonomi_dan_bisnis
21,94,86,84,93,82,94,77,88,91,88,86,77,121,iya,iya,tidak,iya,iya,ekonomi_dan_bisnis
22,87,93,82,95,87,76,75,92,96,90,91,93,115,tidak,iya,tidak,iya,iya,ekonomi_dan_bisnis
23,100,86,81,93,96,91,79,98,94,98,95,76,95,iya,iya,iya,tidak,iya,ekonomi_dan_bisnis
24,94,90,84,95,92,89,75,85,91,92,85,79,84,iya,iya,iya,iya,iya,ekonomi_dan_bisnis
25,82,87,81,99,90,84,86,89,100,85,97,100,110,tidak,iya,iya,iya,iya,ekonomi_dan_bisnis
26,88,92,88,100,86,83,81,97,99,85,89,79,100,iya,iya,iya,tidak,iya,ekonomi_dan_bisnis
27,83,90,89,98,95,91,85,97,95,97,84,92,112,iya,iya,iya,iya,iya,ekonomi_dan_bisnis
28,94,86,88,90,98,79,78,99,93,96,84,85,120,iya,iya,iya,iya,iya,ekonomi_dan_bisnis
29,90,94,89,95,93,93,98,100,90,88,80,84,86,iya,iya,iya,iya,iya,ekonomi_dan_bisnis
30,92,90,88,100,100,92,84,92,92,92,90,82,113,iya,iya,iya,iya,iya,ekonomi_dan_bisnis
31,81,85,80,96,82,75,76,99,93,94,100,85,121,iya,iya,iya,iya,iya,ekonomi_dan_bisnis
